Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1647.30089410749
FDW14,OUT017,1368.1743583335185
NCN55,OUT010,574.231199829435
FDQ58,OUT017,2470.6803547891814
FDY38,OUT027,5839.237376151603
FDH56,OUT046,1953.3201968087544
FDL48,OUT018,757.0300157748156
FDC48,OUT027,2195.7461817490507
FDN33,OUT045,1519.7343394853524
FDA36,OUT017,3105.52841095707
FDT44,OUT017,1931.4520418939035
FDQ56,OUT045,1363.656239746885
NCC54,OUT019,573.923953158777
FDU11,OUT049,2013.740314163984
DRL59,OUT013,859.830741652976
FDM24,OUT049,2449.686347516099
FDI57,OUT045,3055.7367106601987
DRC12,OUT018,2966.4820807620995
NCM42,OUT027,2922.6986906833663
FDA46,OUT010,509.51701290320386
FDA31,OUT013,2850.388046608826
NCJ31,OUT035,3857.3209912260436
FDG52,OUT046,783.3136935212189
NCL19,OUT019,285.6400848677611
FDS10,OUT035,2992.3520687169635
FDX22,OUT010,565.0059009962528
NCF19,OUT035,754.1668177499856
NCE06,OUT046,2523.039549721602
DRC27,OUT046,3873.494890731932
FDE21,OUT035,1967.2106354131893
NCR42,OUT019,131.35978091408688
FDX51,OUT018,2996.2362691886337
NCR06,OUT018,617.040486346919
FDU31,OUT027,5842.186453833467
FDU59,OUT017,2528.3465825613753
FDR03,OUT027,5839.506298684111
FDS49,OUT027,2068.762938652818
FDD48,OUT010,268.01849317838713
NCF18,OUT017,3035.8904981641354
NCD43,OUT027,2864.4183910290144
NCD54,OUT018,2084.295140203241
FDY19,OUT010,268.290243868101
NCY54,OUT017,2865.266520609225
NCL19,OUT018,2442.6192951549524
FDP23,OUT010,572.1792830270917
FDC26,OUT013,1739.4421970697888
FDR14,OUT010,131.35978091408688
NCS41,OUT035,3109.6239447112443
FDF41,OUT035,3864.198912382086
FDU34,OUT046,2047.7924791584392
DRH11,OUT046,967.0498891970121
FDM03,OUT013,1647.1197010771762
FDS31,OUT017,3055.7011587189454
FDJ20,OUT017,1988.847445446902
FDV44,OUT027,5168.074867662168
FDG02,OUT049,3120.813930048854
FDA09,OUT013,2989.791746936767
FDT04,OUT013,703.9796873187615
FDL58,OUT019,571.7393720941773
FDE52,OUT045,1383.8753317879416
FDW12,OUT035,2487.0421425001127
FDL51,OUT017,3664.766540181512
NCY42,OUT027,2987.9199000336152
FDR07,OUT017,1542.0589807996803
FDN40,OUT045,2466.1078276444246
FDB35,OUT027,2705.2657609594735
FDA22,OUT017,2522.9062532791845
NCL06,OUT046,4160.947526184548
FDI35,OUT013,3052.6667160936604
NCW42,OUT045,3744.036430937643
NCX06,OUT049,3004.3580026611207
FDC37,OUT027,2901.9083865494176
FDZ14,OUT018,1934.5913936230834
DRG49,OUT049,3836.4322496117506
NCG06,OUT045,4102.457266729166
DRC36,OUT045,2865.3118723139696
FDV21,OUT019,279.0219535614194
FDB53,OUT046,2525.8725291890114
DRP47,OUT019,573.63164868404
FDA14,OUT013,2476.662762625105
DRC24,OUT035,2561.8399417072637
FDW21,OUT018,1612.443019643199
NCH29,OUT046,1545.9891623798023
FDU58,OUT013,3095.3564070841035
FDY27,OUT017,2884.8129087246025
FDV56,OUT035,1659.229971841246
FDT59,OUT046,3803.3817683630878
FDB23,OUT046,3745.2026255469746
FDR49,OUT045,756.0215721203199
FDB03,OUT010,574.7025154582326
FDN39,OUT045,2619.3580933891762
FDX02,OUT027,5840.68321721363
FDQ16,OUT027,2901.9083865494176
FDU35,OUT018,1547.1973902755399
NCT29,OUT013,2011.1876603962053
FDZ27,OUT046,783.8116643452822
FDN57,OUT017,2028.8824332254244
FDA03,OUT018,2438.4445972228373
FDZ36,OUT045,3114.097450845228
NCU05,OUT013,1405.6503102999116
FDT39,OUT018,2380.0288679149617
FDK60,OUT017,1542.6563455857715
FDZ25,OUT017,2778.092439307031
FDG12,OUT046,2079.714440362188
DRB01,OUT019,504.2072160074849
NCC43,OUT027,5840.74061277144
FDX13,OUT019,571.3150348523906
FDM22,OUT049,861.5965885872329
FDJ03,OUT027,1085.3726739752515
FDU14,OUT018,3816.9682641684967
FDB33,OUT010,380.3404556681114
FDP27,OUT046,3124.743930655542
FDO38,OUT010,158.7450588030132
FDE28,OUT027,5840.74061277144
FDO27,OUT035,1519.2684087408225
DRL23,OUT027,2896.4020222813256
FDS28,OUT046,963.3930452768519
FDX24,OUT013,1457.1120940915134
FDZ02,OUT035,1540.2383063811874
FDL46,OUT045,1922.0834346954446
FDS60,OUT027,4812.72044893864
NCO06,OUT017,591.5001874645485
FDO16,OUT035,1361.429494182984
FDC60,OUT049,1358.9641707345136
FDA48,OUT018,3450.3774638002983
FDZ36,OUT027,5158.730322476375
FDK27,OUT045,2034.402667478752
FDW23,OUT018,605.9141878205334
FDM14,OUT018,1668.2447099505976
FDM14,OUT013,1649.0540163140765
FDW60,OUT018,2820.8288568792095
FDE21,OUT013,1987.181885732162
NCM42,OUT035,1661.2170409189189
FDY59,OUT010,230.2021016924925
DRI49,OUT049,1318.0007632010572
FDT28,OUT019,368.2075898294078
FDQ22,OUT018,609.0028950589539
FDR60,OUT049,1265.787475760842
FDC50,OUT019,237.31451904916793
FDV24,OUT013,2407.697468475649
DRF48,OUT010,491.13440622275465
FDQ47,OUT046,630.8038779816461
DRN36,OUT049,1535.7438280623892
NCY06,OUT035,2013.6019467072374
FDE52,OUT035,1383.0519799703034
NCB54,OUT045,2004.7013857436955
NCF31,OUT035,2491.6044470198785
FDJ08,OUT027,5176.708083632752
NCC07,OUT017,1648.8576089199582
NCD19,OUT027,1259.6324747533486
FDL46,OUT049,1981.143370671258
FDM20,OUT045,4019.1347162547345
NCI06,OUT010,449.1800960836706
DRM11,OUT035,4203.514922701067
NCH07,OUT018,2487.119378805015
FDS23,OUT013,2037.112087206131
FDO49,OUT018,756.5601629819707
FDS35,OUT049,1066.6054046010424
DRK39,OUT045,1341.190657586035
DRI39,OUT049,904.2788744767278
FDV04,OUT017,2510.7056011305094
NCN14,OUT035,3052.1446845417913
FDH08,OUT013,3727.6183468599083
FDS20,OUT046,3140.912095073847
FDV40,OUT049,1141.9557071743575
FDZ48,OUT010,259.1691706273004
FDS24,OUT027,2584.2973189653053
FDK44,OUT049,2864.192081026334
FDS48,OUT045,2547.5360393713236
FDK26,OUT010,491.4834534083369
FDD23,OUT045,3099.7309004203403
NCH54,OUT017,2584.326941727729
NCP14,OUT010,241.87941519849406
FDM60,OUT010,131.35978091408688
FDV24,OUT017,2450.7271500132833
FDH08,OUT018,3545.1971003478884
FDS12,OUT027,2971.9865065918093
FDR39,OUT027,4878.437355075141
FDP12,OUT027,1008.8624572164024
DRF60,OUT027,5842.186453833467
FDC09,OUT035,1646.6039153162283
FDF50,OUT018,3013.287177422315
FDG28,OUT035,4031.0723212197354
NCE19,OUT017,872.0097341320565
NCM53,OUT010,250.17594736862404
NCN18,OUT049,1714.3590223512865
FDF32,OUT035,3136.8099910527126
FDF11,OUT013,3951.845751773042
DRI59,OUT049,3785.915659234123
NCG54,OUT035,2778.249528917706
FDM44,OUT046,1640.2380797195112
FDT57,OUT018,3622.8691222251095
FDV24,OUT046,2456.3086572972506
FDI50,OUT019,570.7593690673167
FDS09,OUT035,766.625152806982
NCC31,OUT027,4111.8438601625985
FDQ07,OUT019,573.63164868404
FDC22,OUT017,3127.81733576298
FDZ56,OUT046,2783.674951852147
FDZ40,OUT019,131.35978091408688
FDS46,OUT027,2938.1554518218936
DRD24,OUT045,2043.567983959284
FDV45,OUT017,3087.9056041867943
FDL26,OUT045,2542.5527342609266
FDA56,OUT018,1983.913103634309
FDN27,OUT046,1980.2380697465726
FDM20,OUT049,3957.617363912401
FDO16,OUT017,1340.1298482414848
FDL03,OUT035,3020.2672661244123
FDE58,OUT046,1965.453608554667
FDI02,OUT027,2925.0855648008805
NCC55,OUT019,131.35978091408688
FDR03,OUT018,3280.362491795932
FDB14,OUT017,1449.1792477120557
FDR45,OUT013,3951.0993191747884
NCN07,OUT017,2029.514393530389
FDM51,OUT019,249.6862021410474
FDT52,OUT027,5842.186453833467
FDL26,OUT046,2527.40090828091
NCZ42,OUT046,3903.982373455732
DRI47,OUT019,370.97058180285285
FDW40,OUT013,2069.1827435472683
FDN34,OUT046,2770.193458188123
FDS01,OUT035,2936.79485489226
NCG55,OUT045,1931.7203092410489
FDC11,OUT035,1363.5879943024254
FDX35,OUT018,3514.686288254469
NCB06,OUT046,2582.38028725631
FDR09,OUT019,573.923953158777
FDC53,OUT017,1543.198991228873
FDY45,OUT013,4089.2953472805366
FDA22,OUT010,383.4080411237135
FDE02,OUT035,1518.2142802826804
FDW21,OUT045,1637.2962840298114
FDV34,OUT046,1182.14409727323
FDS59,OUT049,1655.437058260676
NCW17,OUT017,2059.4591941398667
NCK54,OUT046,1975.2845971687927
FDG17,OUT019,570.7593690673167
FDG35,OUT017,2885.6301669418976
FDD08,OUT010,131.35978091408688
NCO07,OUT017,3640.035113990461
FDJ10,OUT010,277.4355424829894
FDW36,OUT017,1649.2615203714302
FDW21,OUT010,240.85065590620678
FDY19,OUT017,1930.8974189256746
DRE03,OUT013,818.2986425093746
NCC55,OUT049,645.5118652321772
FDH52,OUT010,135.16087385244748
FDO09,OUT017,4097.134231654809
FDU43,OUT045,3982.458713627717
FDX09,OUT010,424.7941743035616
FDH40,OUT019,198.19068493120605
